problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxCut,X,4,10,2e-05,1.563471919941143e-05,10,100000.0,1.9999379999999997e-10,4.944132324730441e-06,1.414191641892993e-05,1.4981263112449643e-05
MaxCut,X,4,11,4.000000000000001e-06,5.163977794943223e-06,10,100000.0,3.99996e-11,1.632993161855452e-06,6.3245236974810995e-06,6.531942028728261e-06
MaxCut,X,4,12,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxCut,X,6,2,0.5030749999999999,0.016107033142905822,10,100000.0,2.4975705150999998e-06,0.005093491107940276,0.0015803703727607652,0.005333031237651497
MaxCut,X,6,3,0.19397999999999996,0.013384448687438235,10,100000.0,1.5619053047999997e-06,0.004232534307795592,0.001249762099281299,0.004413190679255397
MaxCut,X,6,4,0.06548899999999998,0.007538941054433461,10,100000.0,6.114903880999998e-07,0.0023840224877761176,0.0007819785087200286,0.002508994541708337
MaxCut,X,6,5,0.02007499999999997,0.0031571866871912906,10,100000.0,1.966302332999997e-07,0.0009983900929886032,0.00044343007712603313,0.0010924344424622428
MaxCut,X,6,6,0.00577399999999996,0.0011386170949396822,10,100000.0,5.739494119999961e-08,0.00036006234028135753,0.00023957241326997482,0.00043248101702720747
MaxCut,X,6,7,0.0015689999999999702,0.00037194533648554114,10,100000.0,1.5664137299999702e-08,0.00011761944283720374,0.00012515645129197178,0.0001717511881569788
MaxCut,X,6,8,0.00040399999999997003,0.00011992590304942018,10,100000.0,4.038238399999701e-09,3.792390040887003e-05,6.354713526194317e-05,7.400311224686158e-05
MaxCut,X,6,9,0.00010599999999998,5.103375789066206e-05,10,100000.0,1.0598641999998e-09,1.6138291249208236e-05,3.255555559347437e-05,3.63360515802704e-05
MaxCut,X,6,10,2.3e-05,1.9465068427541913e-05,10,100000.0,2.2999130000000003e-10,6.155395104206463e-06,1.5165464054884705e-05,1.6367045820455473e-05
MaxCut,X,6,11,5e-06,8.498365855987975e-06,10,100000.0,4.999909999999999e-11,2.6874192494328497e-06,7.071004171968787e-06,7.564477656931918e-06
MaxCut,X,6,12,1.0000000000000002e-06,3.1622776601683796e-06,10,100000.0,9.9999e-12,1e-06,3.1622618487405498e-06,3.316609714753908e-06
MaxCut,X,8,2,0.495213,0.020969063482505237,10,100000.0,2.4958135317e-06,0.006631000100537887,0.0015798143978645086,0.006816595621351868
MaxCut,X,8,3,0.19985299999999998,0.01494669346563165,10,100000.0,1.5971071510999996e-06,0.0047265594839751655,0.0012637670477979712,0.0048925935562496485
MaxCut,X,8,4,0.07343799999999998,0.008917491924427094,10,100000.0,6.797329065999997e-07,0.0028199585497347725,0.0008244591600558512,0.002938009382017396
MaxCut,X,8,5,0.02504499999999999,0.004173783921362285,10,100000.0,2.4402069549999986e-07,0.001319866365289393,0.0004939845093725105,0.0014092792192189002
MaxCut,X,8,6,0.00804299999999996,0.0017915979831796408,10,100000.0,7.97542130999996e-08,0.0005665530278211702,0.0002824078842737922,0.0006330375553103743
MaxCut,X,8,7,0.00249599999999997,0.0007574401333145356,10,100000.0,2.4892536399999703e-08,0.00023952360124955148,0.00015777368728656785,0.0002868171751404609
MaxCut,X,8,8,0.00070499999999996,0.00025945455607231623,10,100000.0,7.044423899999602e-09,8.204673464963897e-05,8.393106635805125e-05,0.00011737159182130858
MaxCut,X,8,9,0.00022499999999997002,7.472170590488342e-05,10,100000.0,2.2494434999997005e-09,2.362907813126845e-05,4.7428298514702175e-05,5.298845943536469e-05
MaxCut,X,8,10,6.3e-05,2.406010991015812e-05,10,100000.0,6.299551e-10,7.608474807008885e-06,2.5098906350675917e-05,2.6226779994671265e-05
MaxCut,X,8,11,1.2e-05,9.189365834726814e-06,10,100000.0,1.199978e-10,2.9059326290271153e-06,1.095435073384087e-05,1.1333236274094194e-05
MaxCut,X,8,12,4.000000000000001e-06,6.99205898780101e-06,10,100000.0,3.99994e-11,2.2110831935702664e-06,6.324507885993977e-06,6.699872303924075e-06
