metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
inc_prop,MaxCut,X,8,exp_decay,2652.5108195120815,0.99999999999999989;0.75063765346725297,0.033665793022848854;0.0058963369595737818,False,11,False
inc_prop,MaxCut,X,8,exp_over_power,2652.510820458777,0.99999999999999556;0.75064434007299441;5.1481956832769793e-14,0.064082491469158953;0.026260747537285495;0.12961149636611197,False,11,False
inc_prop,MaxCut,X,8,power_law,6365.56784465965,0.99999999999999989;3.3921039478503552,0.097541336413508054;0.047440782382701732,False,11,False
inc_prop,NumberPartitioning,Grover,4,stretched_exp,34.41518937826496,0.99999999999999989;0.26868721377012011;1.5723146732970299,0.076117442865989648;0.033372449866008701;0.060049505827328334,True,11,False
inc_prop,NumberPartitioning,Grover,4,exp_quadratic,120.1030868884029,0.74751534758730986;0.12608253380621628,0.017266591040709919;0.0022827623700265609,False,11,False
inc_prop,NumberPartitioning,Grover,4,exp_over_power,1527.830812951321,0.99999999999999989;0.79974346930848017;3.0314682695299382e-16,0.09319583013436393;0.040327745064217657;0.20163444295912847,False,11,False
inc_prop,NumberPartitioning,Grover,4,exp_decay,1527.8308133185335,0.99999999999999989;0.79973754978763711,0.048901264056193987;0.0079840089523872757,False,11,False
inc_prop,NumberPartitioning,Grover,4,power_law,3401.0387701330465,0.99999999999999989;3.6829306913525479,0.15291569477596709;0.07299023747140139,False,11,False
inc_prop,NumberPartitioning,Grover,6,stretched_exp,55.13259233852578,0.99999999999999989;0.34455947871965231;1.4684995300136279,0.084381963112684075;0.040179348066255158;0.056234286452179427,True,11,False
inc_prop,NumberPartitioning,Grover,6,exp_quadratic,192.74889837586437,0.66705090733213823;0.13669338766949768,0.015530972798030796;0.002345486639622257,False,11,False
inc_prop,NumberPartitioning,Grover,6,exp_over_power,1237.2242509480457,0.99999999999999745;0.79387447174226256;3.7021315059339082e-14,0.075265592054072239;0.03379912492032721;0.16105464877235937,False,11,False
inc_prop,NumberPartitioning,Grover,6,exp_decay,1237.2242512004227,0.99999999999999989;0.79387089260189247,0.040994320260218917;0.0074927764410227596,False,11,False
