problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxCut,Grover,6,2,0.45440699999999995,0.0632815792136841,10,100000.0,2.4431717591000006e-06,0.02001139242476089,0.001563064860810325,0.0200723441216236
MaxCut,Grover,6,3,0.18760699999999997,0.05275589825897298,10,100000.0,1.4990574722999999e-06,0.016682879850646613,0.0012243600256052138,0.0167277475346626
MaxCut,Grover,6,4,0.07365499999999997,0.031015093906032284,10,100000.0,6.736419852999997e-07,0.009807833858707033,0.0008207569587277343,0.009842115981093705
MaxCut,Grover,6,5,0.027671999999999954,0.015013336145648051,10,100000.0,2.670340017999995e-07,0.0047476337497981275,0.000516753327807378,0.004775673797907708
MaxCut,Grover,6,6,0.00999499999999998,0.006448722957127063,10,100000.0,9.857672549999982e-08,0.002039265254393788,0.00031396930662088584,0.0020632933633581434
MaxCut,Grover,6,7,0.00354199999999997,0.0026594895082411073,10,100000.0,3.52308863999997e-08,0.0008410044259363043,0.00018769892487704797,0.0008616956138013308
MaxCut,Grover,6,8,0.00126199999999998,0.001025884983806653,10,100000.0,1.25946015999998e-08,0.0003244133166193978,0.00011222567264222479,0.0003432762759061533
MaxCut,Grover,6,9,0.00041399999999998003,0.0003920940930156728,10,100000.0,4.136902399999801e-09,0.00012399103910274445,6.431875620687795e-05,0.00013968063637375837
MaxCut,Grover,6,10,0.00011699999999998001,0.00012579083167438133,10,100000.0,1.1697206999998e-09,3.97785536857897e-05,3.420117980420851e-05,5.246002319226568e-05
MaxCut,Grover,6,11,4.8999999999990003e-05,5.820461990062091e-05,10,100000.0,4.899454999999e-10,1.8405916923032534e-05,2.2134712557426626e-05,2.8787554216665844e-05
MaxCut,Grover,6,12,1.2e-05,1.398411797560202e-05,10,100000.0,1.199968e-10,4.422166387140533e-06,1.0954305089780911e-05,1.1813227990500968e-05
MaxCut,Grover,8,2,0.455471,0.06270852723336581,10,100000.0,2.4447804471e-06,0.01983017747721331,0.00156357937025915,0.019891724893152885
MaxCut,Grover,8,3,0.19319799999999995,0.05856137441465437,10,100000.0,1.5278604168e-06,0.01851873260602176,0.0012360665098610187,0.018559938516873743
