problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxCut,Grover,6,7,0.013317999999999951,0.0035450052499569314,10,100000.0,1.312932051999995e-07,0.0011210290907118425,0.0003623440425893594,0.0011781338749998745
MaxCut,Grover,6,8,0.00511299999999996,0.001824488056049336,10,100000.0,5.0838613499999607e-08,0.0005769537820888848,0.00022547419697162602,0.0006194467532941537
MaxCut,Grover,6,9,0.00192799999999996,0.0008684571248932029,10,100000.0,1.92360401999996e-08,0.00027463025648638356,0.00013869405250406235,0.00030766510685772676
MaxCut,Grover,6,10,0.0007509999999999199,0.0004205406573025574,10,100000.0,7.502768299999201e-09,0.00013298663257804033,8.6618521691375e-05,0.00015870794795613073
MaxCut,Grover,6,11,0.00026599999999996,0.00015931799089310272,10,100000.0,2.6590639999996002e-09,5.0380772346416805e-05,5.15661129037239e-05,7.209220639029629e-05
MaxCut,Grover,6,12,0.00010200000000000001,7.435649863252633e-05,10,100000.0,1.0198462000000002e-09,2.3513589451397865e-05,3.193503092217072e-05,3.965772420208816e-05
MaxCut,Grover,8,2,0.999794,0.0005841841414409457,10,100000.0,2.0565042000001735e-09,0.00018473524599033474,4.534869568135531e-05,0.00019021991302466115
MaxCut,Grover,8,3,0.474201,0.009561848322020849,10,100000.0,2.4925212555000006e-06,0.003023721933864503,0.0015787720720547348,0.003411072498325606
MaxCut,Grover,8,4,0.21806199999999992,0.012752856586314728,10,100000.0,1.7036459233999998e-06,0.004032807348623424,0.0013052378800050204,0.004238771170340655
MaxCut,Grover,8,5,0.09827599999999992,0.010921812222439185,10,100000.0,8.851047043999993e-07,0.003453780279957339,0.0009408000342261895,0.003579623293954574
MaxCut,Grover,8,6,0.043398999999999924,0.007587670481335701,10,100000.0,4.1463711329999924e-07,0.002399432085584694,0.0006439232200348107,0.002484333199599706
MaxCut,Grover,8,7,0.01893299999999995,0.004552664787425793,10,100000.0,1.8555887429999953e-07,0.0014396790151511806,0.0004307654516091089,0.001502742340179005
MaxCut,Grover,8,8,0.0082049999999999,0.0025938484921058645,10,100000.0,8.131622729999902e-08,0.0008202469140447811,0.000285160002980781,0.0008684015357540459
MaxCut,Grover,8,9,0.0034979999999999603,0.0012962064307474673,10,100000.0,3.484251859999961e-08,0.0004098964638919307,0.00018666150808348145,0.0004503971910559706
MaxCut,Grover,8,10,0.00148899999999995,0.0006748407219485359,10,100000.0,1.4863730099999504e-08,0.0002134033739189756,0.00012191689833652883,0.0002457737376124667
MaxCut,Grover,8,11,0.00061999999999993,0.0003453178889725289,10,100000.0,6.1950827999993e-09,0.00010919910459543328,7.870884829546994e-05,0.00013460879333997345
MaxCut,Grover,8,12,0.00023799999999997,0.00013373273512661105,10,100000.0,2.3792725999997e-09,4.229000407240972e-05,4.877778797772301e-05,6.455785811536911e-05
MaxCut,X,4,2,0.9999999999999998,9.064933036736789e-17,10,100000.0,1.1102230246251563e-21,2.866583523299505e-17,3.3320009373125277e-11,3.332000937313761e-11
MaxCut,X,4,3,0.38241899999999995,0.03386477273247562,10,100000.0,2.3514256789e-06,0.010708981427858694,0.0015334359063553977,0.01081821190868077
MaxCut,X,4,4,0.12613299999999988,0.02597579217057466,10,100000.0,1.0961619870999995e-06,0.008214266728618493,0.0010469775485176364,0.00828072097561491
MaxCut,X,4,5,0.03752599999999996,0.011932610033945702,10,100000.0,3.598965085999997e-07,0.0037734226137847537,0.0005999137509675867,0.0038208133598518212
MaxCut,X,4,6,0.010648999999999931,0.004502183297517373,10,100000.0,1.0517356109999932e-07,0.0014237153663722395,0.00032430473493305536,0.001460184579272237
MaxCut,X,4,7,0.00268799999999993,0.001397790319675224,10,100000.0,2.6790162199999308e-08,0.0004420201101508578,0.00016367700571552287,0.00047135118539977784
MaxCut,X,4,8,0.0006579999999999501,0.0003803448727434,10,100000.0,6.574368399999501e-09,0.00012027560942360389,8.108247899515346e-05,0.00014505375080368937
MaxCut,X,4,9,0.00015899999999997,0.00010386422761360965,10,100000.0,1.5896500999997002e-09,3.284475266731615e-05,3.9870416350970054e-05,5.16568279879521e-05
MaxCut,X,4,10,3.9000000000000006e-05,2.766867462592951e-05,10,100000.0,3.899779e-10,8.749603165604458e-06,1.9747858111704164e-05,2.159938553652755e-05
MaxCut,X,4,11,7.000000000000001e-06,8.232726023485646e-06,10,100000.0,6.99989e-11,2.6034165586355513e-06,8.366534527508985e-06,8.762230182880257e-06
MaxCut,X,4,12,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxCut,X,6,2,1.0,9.791246743253677e-17,10,100000.0,5.551115123125781e-22,3.09626408413875e-17,2.3560804576936207e-11,2.356080457695655e-11
MaxCut,X,6,3,0.38852699999999996,0.012408228497430418,10,100000.0,2.3743520255e-06,0.003923826377968886,0.001540893255712413,0.004215538574126019
MaxCut,X,6,4,0.13292199999999993,0.009359010868913654,10,100000.0,1.1517490993999995e-06,0.00295957909920387,0.001073195741419057,0.0031481514486829234
MaxCut,X,6,5,0.04208799999999996,0.004594336610315901,10,100000.0,4.0297603119999965e-07,0.001452856802609569,0.0006348039313047767,0.001585486966231164
MaxCut,X,6,6,0.01251999999999991,0.00178531043052275,10,100000.0,1.2360380999999913e-07,0.0005645647290907684,0.000351573335166362,0.0006650843129508708
MaxCut,X,6,7,0.00355799999999995,0.0006898437826381216,10,100000.0,3.54491233999995e-08,0.00021814775828425832,0.00018827937592843117,0.00028816239838751813
MaxCut,X,6,8,0.00102399999999993,0.0002795313538366599,10,100000.0,1.0228810999999303e-08,8.839557555542921e-05,0.0001011375845074387,0.00013432270388052386
MaxCut,X,6,9,0.00025799999999995,9.761602782782252e-05,10,100000.0,2.5792485999994997e-09,3.08688984074298e-05,5.0786303271645e-05,5.9431788538523066e-05
MaxCut,X,6,10,5.400000000000001e-05,2.503331114069145e-05,10,100000.0,5.399652000000001e-10,7.916228058025278e-06,2.3237151288400222e-05,2.4548561397089375e-05
MaxCut,X,6,11,1.5000000000000002e-05,1.7159383568311668e-05,10,100000.0,1.4999510000000001e-10,5.426273532033235e-06,1.2247248670619864e-05,1.3395504635677017e-05
MaxCut,X,6,12,3.0000000000000005e-06,6.749485577105529e-06,10,100000.0,2.99995e-11,2.1343747458109494e-06,5.477179931315019e-06,5.878354834097339e-06
MaxCut,X,8,2,1.0,3.700743415417188e-17,10,100000.0,1.1102230246251563e-22,1.1702778228589002e-17,1.0536712127723506e-11,1.0536712127730006e-11
MaxCut,X,8,3,0.412222,0.015222214614758858,10,100000.0,2.4208647848e-06,0.004813686921454055,0.0015559128461453103,0.005058897761625334
MaxCut,X,8,4,0.15595599999999996,0.013699488392718265,10,100000.0,1.3146481767999997e-06,0.004332158610002898,0.0011465810816510098,0.00448132194770943
MaxCut,X,8,5,0.05548099999999995,0.007905509260425074,10,100000.0,5.234661126999993e-07,0.0024999415326496456,0.0007235095802406484,0.0026025321860385624
MaxCut,X,8,6,0.01895899999999994,0.0037905421775783314,10,100000.0,1.858662492999994e-07,0.0011986746848081959,0.00043112208166597014,0.0012738474199448014
MaxCut,X,8,7,0.00635799999999994,0.0016699620754176963,10,100000.0,6.315065939999941e-08,0.0005280883764421803,0.0002512979494544263,0.000584831593480839
MaxCut,X,8,8,0.00200399999999994,0.0006313864813954569,10,100000.0,1.99962519999994e-08,0.0001996619365049171,0.00014140810443535195,0.0002446653651191622
MaxCut,X,8,9,0.00063499999999993,0.00024336757749908973,10,100000.0,6.345434699999302e-09,7.695958535346681e-05,7.965823686223103e-05,0.00011076196313616351
MaxCut,X,8,10,0.00019599999999997,8.275801404628209e-05,10,100000.0,1.9595541999997e-09,2.617038190184588e-05,4.4266852158242516e-05,5.142414888832058e-05
MaxCut,X,8,11,5.5e-05,3.807886552931954e-05,10,100000.0,5.499566999999999e-10,1.2041594578792294e-05,2.3451155621845163e-05,2.6362031408827354e-05
MaxCut,X,8,12,2.1000000000000002e-05,2.024845673131659e-05,10,100000.0,2.099919e-10,6.4031242374328485e-06,1.44910972669429e-05,1.5842723881959188e-05
