problem,representation,sense,mixer,N,p,instance_seed,angle_seed,reps,tol,sample_from_periods,canonicalize,beta_period,gamma_period,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,11,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,1,1,99998,1.0000000000000001e-05,1.0000000000000001e-05,9.999949999874999e-06,9.999949999874999e-06
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,12,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,2,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,50118,49882,0,0.50117999999999996,0.49881999999999999,0.0015811344269226447,0.0015811344269226445
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,3,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,20658,20569,58773,0.20658000000000001,0.20569000000000001,0.0012802527234886088,0.00127820821425932
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,4,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,7342,7148,85510,0.073419999999999999,0.071480000000000002,0.00082479999757516969,0.00081468159178908674
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,5,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,2260,2221,95519,0.022599999999999999,0.022210000000000001,0.00046999191482407436,0.0004660119730221532
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,6,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,650,679,98671,0.0064999999999999997,0.00679,0.00025412103415498684,0.00025969012110590577
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,7,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,171,185,99644,0.0017099999999999999,0.0018500000000000001,0.00013065511471044676,0.00013588883324247065
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,8,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,42,44,99914,0.00042000000000000002,0.00044000000000000002,6.4793795999308461e-05,6.6317901052430784e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,9,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,11,13,99976,0.00011,0.00012999999999999999,3.3164423709752596e-05,3.6053169070138622e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,10,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,3,2,99995,3.0000000000000001e-05,2.0000000000000002e-05,1.7320248266119051e-05,1.4141994201667599e-05
