problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,Grover,5,7,3,21260230,100000,1.000e-12,false,684,1242,98074,0.0068399999999999997,0.01242,0.00026063795579308859,0.00035022483635516199
SK,Grover,5,8,3,21260230,100000,1.000e-12,false,288,483,99229,0.0028800000000000002,0.0048300000000000001,0.00016946107517657263,0.00021924121647172093
SK,Grover,5,9,3,21260230,100000,1.000e-12,false,115,178,99707,0.00115,0.0017799999999999999,0.00010717637332919975,0.0001332978469443524
SK,Grover,5,10,3,21260230,100000,1.000e-12,false,50,66,99884,0.00050000000000000001,0.00066,7.0692998238863796e-05,8.1213570294625024e-05
SK,Grover,5,11,3,21260230,100000,1.000e-12,false,17,25,99958,0.00017000000000000001,0.00025000000000000001,4.122755146743498e-05,4.9993749609326164e-05
SK,Grover,5,12,3,21260230,100000,1.000e-12,false,5,11,99984,5.0000000000000002e-05,0.00011,2.2360120751015635e-05,3.3164423709752596e-05
SK,Grover,5,13,3,21260230,100000,1.000e-12,false,1,3,99996,1.0000000000000001e-05,3.0000000000000001e-05,9.999949999874999e-06,1.7320248266119051e-05
SK,Grover,5,14,3,21260230,100000,1.000e-12,false,1,2,99997,1.0000000000000001e-05,2.0000000000000002e-05,9.999949999874999e-06,1.4141994201667599e-05
SK,Grover,5,15,3,21260230,100000,1.000e-12,false,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
SK,Grover,5,16,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,17,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,18,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,19,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,20,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,2,4,21260231,100000,1.000e-12,false,51797,48203,0,0.51797000000000004,0.48203000000000001,0.0015801173345672782,0.0015801173345672784
SK,X,5,3,4,21260231,100000,1.000e-12,false,22534,19342,58124,0.22534000000000001,0.19342000000000001,0.0013212186965071301,0.0012490344414786967
SK,X,5,4,4,21260231,100000,1.000e-12,false,8428,7123,84449,0.084279999999999994,0.071230000000000002,0.00087850373704384435,0.0008133651523147522
SK,X,5,5,4,21260231,100000,1.000e-12,false,2922,2403,94675,0.029219999999999999,0.024029999999999999,0.00053259920765994385,0.00048427842301717304
SK,X,5,6,4,21260231,100000,1.000e-12,false,957,741,98302,0.0095700000000000004,0.0074099999999999999,0.00030787034771150013,0.00027120272675620357
SK,X,5,7,4,21260231,100000,1.000e-12,false,302,228,99470,0.0030200000000000001,0.0022799999999999999,0.00017351886352785968,0.00015082445425062873
SK,X,5,8,4,21260231,100000,1.000e-12,false,67,58,99875,0.00067000000000000002,0.00058,8.1826102192393354e-05,7.6135642113270448e-05
SK,X,5,9,4,21260231,100000,1.000e-12,false,21,17,99962,0.00021000000000000001,0.00017000000000000001,4.582094499243768e-05,4.122755146743498e-05
SK,X,5,10,4,21260231,100000,1.000e-12,false,4,6,99990,4.0000000000000003e-05,6.0000000000000002e-05,1.9999599995999918e-05,2.4494162569885914e-05
